# Table 2 
# CN Violet Deltanu = 0 Band Sequence Fluorescence Efficiencies
# 
# 
# $\dot{r}$_H L/N x r_H^2 (erg s^-1 molecule^-1) at r_H (AU)
# (km s^-1) (au)
rdot    rh0.250  rh0.354  rh0.500  rh0.707  rh1.000  rh1.414  rh2.000  rh2.828  rh4.000  rh5.657
-60.0    3.663    3.634    3.621    3.645    3.623    3.533    3.500    3.541    3.643    3.848    
-59.0    3.603    3.579    3.579    3.628    3.618    3.503    3.429    3.434    3.515    3.716    
-58.0    3.535    3.512    3.520    3.587    3.591    3.455    3.339    3.306    3.364    3.565    
-57.0    3.481    3.452    3.458    3.535    3.550    3.393    3.236    3.167    3.202    3.401    
-56.0    3.475    3.427    3.420    3.500    3.526    3.345    3.144    3.039    3.050    3.238    
-55.0    3.549    3.469    3.433    3.507    3.549    3.345    3.098    2.957    2.939    3.100    
-54.0    3.672    3.558    3.488    3.550    3.619    3.409    3.124    2.950    2.894    3.005    
-53.0    3.787    3.656    3.561    3.614    3.711    3.516    3.219    3.023    2.927    2.971    
-52.0    3.869    3.734    3.631    3.680    3.789    3.617    3.345    3.152    3.030    3.015    
-51.0    3.914    3.783    3.683    3.734    3.836    3.691    3.474    3.307    3.180    3.125    
-50.0    3.915    3.791    3.703    3.765    3.860    3.756    3.603    3.470    3.351    3.277    
-49.0    3.863    3.748    3.679    3.761    3.864    3.808    3.702    3.591    3.479    3.399    
-48.0    3.754    3.647    3.600    3.707    3.827    3.808    3.726    3.619    3.508    3.433    
-47.0    3.596    3.500    3.481    3.622    3.768    3.777    3.699    3.579    3.467    3.415    
-46.0    3.424    3.346    3.365    3.550    3.731    3.759    3.669    3.526    3.413    3.399    
-45.0    3.283    3.233    3.298    3.526    3.725    3.746    3.627    3.452    3.338    3.359    
-44.0    3.212    3.194    3.305    3.573    3.773    3.759    3.593    3.381    3.263    3.313    
-43.0    3.203    3.213    3.364    3.678    3.891    3.840    3.621    3.367    3.242    3.316    
-42.0    3.253    3.272    3.444    3.797    4.038    3.963    3.700    3.410    3.274    3.365    
-41.0    3.357    3.359    3.517    3.873    4.124    4.039    3.762    3.464    3.324    3.418    
-40.0    3.493    3.454    3.559    3.859    4.070    3.986    3.736    3.473    3.352    3.448    
-39.0    3.611    3.523    3.554    3.759    3.900    3.819    3.618    3.419    3.344    3.457    
-38.0    3.701    3.563    3.514    3.619    3.692    3.612    3.459    3.332    3.325    3.482    
-37.0    3.784    3.594    3.470    3.496    3.520    3.445    3.336    3.281    3.351    3.571    
-36.0    3.873    3.639    3.454    3.427    3.424    3.358    3.293    3.307    3.454    3.733    
-35.0    3.942    3.682    3.456    3.402    3.392    3.347    3.341    3.430    3.640    3.945    
-34.0    3.955    3.686    3.437    3.379    3.390    3.398    3.469    3.624    3.853    4.122    
-33.0    3.925    3.665    3.422    3.384    3.433    3.498    3.614    3.772    3.958    4.152    
-32.0    3.876    3.645    3.426    3.401    3.457    3.529    3.628    3.744    3.873    4.012    
-31.0    3.797    3.579    3.352    3.300    3.331    3.379    3.449    3.533    3.630    3.742    
-30.0    3.740    3.515    3.245    3.139    3.128    3.138    3.174    3.231    3.307    3.401    
-29.0    3.794    3.562    3.252    3.103    3.055    3.020    3.014    3.039    3.092    3.170    
-28.0    3.915    3.687    3.374    3.231    3.201    3.163    3.132    3.132    3.171    3.246    
-27.0    4.013    3.789    3.494    3.396    3.443    3.471    3.464    3.460    3.501    3.598    
-26.0    4.054    3.833    3.558    3.515    3.658    3.789    3.837    3.849    3.906    4.046    
-25.0    4.051    3.833    3.580    3.588    3.812    4.027    4.121    4.148    4.222    4.409    
-24.0    4.010    3.800    3.578    3.642    3.927    4.184    4.294    4.323    4.408    4.641    
-23.0    3.937    3.743    3.572    3.696    4.012    4.263    4.352    4.364    4.454    4.725    
-22.0    3.846    3.681    3.585    3.775    4.088    4.282    4.316    4.297    4.391    4.698    
-21.0    3.760    3.639    3.631    3.864    4.116    4.211    4.176    4.137    4.256    4.601    
-20.0    3.687    3.612    3.667    3.882    4.030    4.029    3.957    3.936    4.103    4.485    
-19.0    3.601    3.558    3.637    3.801    3.867    3.822    3.755    3.775    3.988    4.381    
-18.0    3.510    3.489    3.578    3.711    3.743    3.689    3.636    3.682    3.905    4.265    
-17.0    3.456    3.446    3.542    3.664    3.681    3.619    3.559    3.590    3.774    4.059    
-16.0    3.464    3.451    3.540    3.646    3.644    3.557    3.461    3.436    3.543    3.741    
-15.0    3.537    3.513    3.579    3.658    3.629    3.510    3.366    3.270    3.292    3.418    
-14.0    3.640    3.602    3.636    3.682    3.628    3.485    3.309    3.166    3.132    3.218    
